condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
kubectl-axi,diagnose_imagepull,5,gemini-3.5-flash,2026-07-10T06:17:43.825Z,true,64485,40596,519,0.011508899999999999,18.632,5,2,0
kubectl-axi,diagnose_multicontainer,1,gemini-3.5-flash,2026-07-10T06:18:35.753Z,true,73809,48676,509,0.012463099999999998,39.012,6,3,0
kubectl-axi,diagnose_multicontainer,2,gemini-3.5-flash,2026-07-10T06:21:22.617Z,true,62929,40589,351,0.010623674999999999,152.935,5,4,0
kubectl-axi,diagnose_multicontainer,3,gemini-3.5-flash,2026-07-10T06:22:34.958Z,true,74401,48408,641,0.013031,58.932,6,3,0
kubectl-axi,diagnose_multicontainer,4,gemini-3.5-flash,2026-07-10T06:23:25.442Z,true,88958,56786,725,0.01572305,37.645,7,4,0
kubectl-axi,diagnose_multicontainer,5,gemini-3.5-flash,2026-07-10T06:25:14.851Z,true,74528,48656,586,0.0128758,95.303,7,4,0
kubectl-axi,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-10T06:25:50.149Z,true,80815,48716,679,0.014980899999999998,21.034,6,3,0
kubectl-axi,diagnose_unschedulable,2,gemini-3.5-flash,2026-07-10T06:27:20.083Z,true,60824,40555,570,0.010547325000000001,76.55,6,3,0
kubectl-axi,diagnose_unschedulable,3,gemini-3.5-flash,2026-07-10T06:28:32.063Z,false,88136,56780,755,0.015552799999999999,63.804,7,4,0
kubectl-axi,diagnose_unschedulable,4,gemini-3.5-flash,2026-07-10T06:29:16.111Z,true,62369,40565,688,0.011303575000000001,30.986,6,3,0
kubectl-axi,diagnose_unschedulable,5,gemini-3.5-flash,2026-07-10T06:30:37.724Z,true,101602,64874,900,0.01813395,67.051,8,5,0
kubectl-axi,diagnose_rollout,1,gemini-3.5-flash,2026-07-10T06:31:51.605Z,true,106998,64907,1335,0.020832824999999996,59.34,8,5,0
kubectl-axi,diagnose_rollout,2,gemini-3.5-flash,2026-07-10T06:33:02.657Z,false,162519,89240,1318,0.0319717,62.689,11,8,0
kubectl-axi,diagnose_rollout,3,gemini-3.5-flash,2026-07-10T06:34:33.989Z,false,244652,153932,1976,0.0437009,83.223,16,12,0
kubectl-axi,diagnose_rollout,4,gemini-3.5-flash,2026-07-10T06:35:36.877Z,true,137768,81100,1419,0.0266304,47.818,10,7,0
kubectl-axi,diagnose_rollout,5,gemini-3.5-flash,2026-07-10T06:36:29.510Z,true,91701,56779,1354,0.018120025,37.987,9,6,0
kubectl-axi,diagnose_endpoints,1,gemini-3.5-flash,2026-07-10T06:37:18.898Z,true,75294,48685,766,0.013549075,33.408,6,3,0
kubectl-axi,diagnose_endpoints,2,gemini-3.5-flash,2026-07-10T06:38:06.352Z,true,87847,56748,605,0.015098299999999999,28.4,8,5,0
kubectl-axi,diagnose_endpoints,3,gemini-3.5-flash,2026-07-10T06:38:50.341Z,true,75967,48689,913,0.014117574999999999,29.249,6,3,0
kubectl-axi,diagnose_endpoints,4,gemini-3.5-flash,2026-07-10T06:39:49.454Z,true,101178,64870,1042,0.01836265,43.839,8,5,0
kubectl-axi,diagnose_endpoints,5,gemini-3.5-flash,2026-07-10T06:40:34.947Z,true,102203,64877,957,0.018456074999999995,29.1,8,5,0
kubectl-axi,diagnose_pvc,1,gemini-3.5-flash,2026-07-10T06:41:15.096Z,true,50443,32458,805,0.00984235,26.097,6,3,0
kubectl-axi,diagnose_pvc,2,gemini-3.5-flash,2026-07-10T06:42:05.688Z,true,63398,40570,719,0.01168865,34.811,6,3,0
kubectl-axi,diagnose_pvc,3,gemini-3.5-flash,2026-07-10T06:43:24.134Z,true,101578,64872,660,0.017527199999999996,59.583,8,5,0
kubectl-axi,diagnose_pvc,4,gemini-3.5-flash,2026-07-10T06:44:22.088Z,true,76098,48690,1063,0.01453165,43.881,6,3,0
kubectl-axi,diagnose_pvc,5,gemini-3.5-flash,2026-07-10T06:45:21.059Z,true,75853,48689,711,0.013578375,44.955,6,3,0
kubectl-axi,node_health,1,gemini-3.5-flash,2026-07-10T06:46:13.089Z,true,36745,24365,175,0.005978875,36.896,3,2,0
kubectl-axi,node_health,2,gemini-3.5-flash,2026-07-10T06:47:00.273Z,true,51464,32355,520,0.009459325000000001,20.873,4,3,0
kubectl-axi,node_health,3,gemini-3.5-flash,2026-07-10T06:48:09.581Z,true,98930,56786,1223,0.01995965,55.413,9,6,0
kubectl-axi,node_health,4,gemini-3.5-flash,2026-07-10T06:49:07.165Z,true,63899,40593,647,0.011653775,41.317,5,2,0
kubectl-axi,node_health,5,gemini-3.5-flash,2026-07-10T06:49:54.035Z,true,50226,32471,274,0.008446825000000002,33.201,5,2,0
kubectl-axi,cluster_triage,1,gemini-3.5-flash,2026-07-10T06:51:10.366Z,true,68131,40668,3098,0.019034,59.872,6,2,0
kubectl-axi,cluster_triage,2,gemini-3.5-flash,2026-07-10T06:52:51.483Z,true,104669,65082,1996,0.02174725,83.696,6,3,0
kubectl-axi,cluster_triage,3,gemini-3.5-flash,2026-07-10T06:54:23.052Z,true,107622,73211,2244,0.021424125,72.741,7,4,0
kubectl-axi,cluster_triage,4,gemini-3.5-flash,2026-07-10T06:55:54.242Z,true,108723,73165,2685,0.022867275000000003,74.575,10,4,0
kubectl-axi,cluster_triage,5,gemini-3.5-flash,2026-07-10T06:57:15.802Z,true,109802,73220,3188,0.0244361,65.055,7,4,0
kubectl-axi,diagnose_readiness,1,gemini-3.5-flash,2026-07-10T06:58:26.760Z,true,169012,97275,1647,0.032934225,56.632,12,7,0
kubectl-axi,diagnose_readiness,2,gemini-3.5-flash,2026-07-10T06:59:29.319Z,true,151460,89281,1105,0.028112275000000003,48.922,10,7,0
kubectl-axi,diagnose_readiness,3,gemini-3.5-flash,2026-07-10T07:00:55.472Z,true,105041,64894,756,0.018801150000000003,72.808,8,5,0
kubectl-axi,diagnose_readiness,4,gemini-3.5-flash,2026-07-10T07:02:12.038Z,false,109229,64885,930,0.020494574999999998,68.227,9,6,0
kubectl-axi,diagnose_readiness,5,gemini-3.5-flash,2026-07-10T07:03:52.017Z,true,124683,64906,1293,0.02603355,85.775,12,5,0
kubectl-axi,diagnose_configmap,1,gemini-3.5-flash,2026-07-10T07:05:13.120Z,true,59895,40569,433,0.009922975,64.289,5,2,0
kubectl-axi,diagnose_configmap,2,gemini-3.5-flash,2026-07-10T07:06:02.579Z,true,59991,40570,401,0.00987155,36.154,5,2,0
kubectl-axi,diagnose_configmap,3,gemini-3.5-flash,2026-07-10T07:07:04.220Z,true,64574,40597,351,0.011115375,49.02,5,2,0
kubectl-axi,diagnose_configmap,4,gemini-3.5-flash,2026-07-10T07:08:02.513Z,true,73756,48676,547,0.0125422,43.618,6,3,0
kubectl-axi,diagnose_configmap,5,gemini-3.5-flash,2026-07-10T07:08:52.527Z,true,62051,40582,470,0.01065935,32.269,5,2,0
kubectl-axi,diagnose_oom,1,gemini-3.5-flash,2026-07-10T07:09:46.405Z,true,62113,40583,567,0.010920225,38.482,5,2,0
kubectl-axi,diagnose_oom,2,gemini-3.5-flash,2026-07-10T07:10:36.501Z,true,61511,40579,593,0.010805525,35.791,5,2,0
kubectl-axi,diagnose_oom,3,gemini-3.5-flash,2026-07-10T07:11:09.488Z,true,61038,40577,515,0.010469075000000001,18.605,5,2,0
kubectl-axi,diagnose_oom,4,gemini-3.5-flash,2026-07-10T07:11:41.622Z,true,49076,32427,510,0.008701725,17.475,5,2,0
kubectl-axi,diagnose_oom,5,gemini-3.5-flash,2026-07-10T07:12:59.645Z,true,60343,40572,407,0.009991700000000001,64.774,5,2,0
kubectl-skill,diagnose_crashloop,1,gemini-3.5-flash,2026-07-10T04:20:24.117Z,true,71281,40540,705,0.0140253,20.799,6,3,0
kubectl-skill,diagnose_crashloop,2,gemini-3.5-flash,2026-07-10T04:21:02.573Z,true,63097,40554,816,0.01184445,24.992,7,4,0
kubectl-skill,diagnose_crashloop,3,gemini-3.5-flash,2026-07-10T04:21:50.081Z,true,113434,72949,975,0.020054175,33.845,9,6,0
kubectl-skill,diagnose_crashloop,4,gemini-3.5-flash,2026-07-10T04:22:35.028Z,true,112784,72945,830,0.019497574999999996,31.009,9,6,0
kubectl-skill,diagnose_crashloop,5,gemini-3.5-flash,2026-07-10T04:23:24.563Z,true,108931,72918,893,0.01850525,36.62,9,6,0
kubectl-skill,diagnose_pvc,1,gemini-3.5-flash,2026-07-10T04:24:00.922Z,true,73754,48616,921,0.013490099999999998,23.832,9,6,0
kubectl-skill,diagnose_pvc,2,gemini-3.5-flash,2026-07-10T04:24:41.733Z,true,123281,81006,1014,0.02129295,27.697,10,7,0
kubectl-skill,diagnose_pvc,3,gemini-3.5-flash,2026-07-10T04:25:18.240Z,true,70863,48630,734,0.01215215,23.254,7,4,0
kubectl-skill,diagnose_pvc,4,gemini-3.5-flash,2026-07-10T04:26:00.533Z,true,97158,64843,1169,0.017480225,28.684,8,5,0
kubectl-skill,diagnose_pvc,5,gemini-3.5-flash,2026-07-10T04:26:48.467Z,true,72197,48663,942,0.013064925,31.875,6,3,0
kubectl-skill,diagnose_rollout,1,gemini-3.5-flash,2026-07-10T04:27:40.195Z,true,75017,48683,960,0.013951425,38.149,6,3,0
kubectl-skill,diagnose_rollout,2,gemini-3.5-flash,2026-07-10T04:28:36.602Z,true,116828,72973,1266,0.021794474999999997,42.444,9,6,0
kubectl-skill,diagnose_rollout,3,gemini-3.5-flash,2026-07-10T04:29:18.221Z,true,74022,48677,892,0.013484275,27.943,6,3,0
kubectl-skill,diagnose_rollout,4,gemini-3.5-flash,2026-07-10T04:30:32.065Z,true,144091,80968,1226,0.028074499999999995,60.37,15,12,0
kubectl-skill,diagnose_rollout,5,gemini-3.5-flash,2026-07-10T04:31:28.175Z,true,90586,56795,1156,0.017286924999999998,42.752,7,4,0
kubectl-skill,diagnose_readiness,1,gemini-3.5-flash,2026-07-10T04:32:09.474Z,true,80745,48674,1086,0.015986849999999997,27.999,8,5,0
kubectl-skill,diagnose_readiness,2,gemini-3.5-flash,2026-07-10T04:32:49.812Z,true,74609,48637,813,0.013471875,24.836,8,5,0
kubectl-skill,diagnose_readiness,3,gemini-3.5-flash,2026-07-10T04:33:31.829Z,true,80518,48654,1038,0.015803249999999998,27.926,9,6,0
kubectl-skill,diagnose_readiness,4,gemini-3.5-flash,2026-07-10T04:34:17.124Z,true,103762,64885,695,0.018266974999999998,30.478,8,5,0
kubectl-skill,diagnose_readiness,5,gemini-3.5-flash,2026-07-10T04:35:13.026Z,true,147553,89153,1095,0.026943975,42.625,11,8,0
kubectl-skill,healthy_namespace_check,1,gemini-3.5-flash,2026-07-10T04:35:53.068Z,true,68856,40549,603,0.013040775,25.537,10,7,0
kubectl-skill,healthy_namespace_check,2,gemini-3.5-flash,2026-07-10T04:36:43.107Z,true,109050,64913,732,0.019939575,35.282,8,5,0
kubectl-skill,healthy_namespace_check,3,gemini-3.5-flash,2026-07-10T04:37:46.446Z,true,215916,162731,854,0.030295324999999998,49.366,11,8,0
kubectl-skill,healthy_namespace_check,4,gemini-3.5-flash,2026-07-10T04:38:31.768Z,true,77128,48694,879,0.014379749999999998,31.091,6,3,0
kubectl-skill,healthy_namespace_check,5,gemini-3.5-flash,2026-07-10T04:39:18.224Z,true,73863,40607,822,0.015077324999999999,32.127,7,4,0
kubectl-skill,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-10T04:39:53.678Z,true,71063,48658,725,0.01218335,21.38,6,3,0
kubectl-skill,diagnose_unschedulable,2,gemini-3.5-flash,2026-07-10T04:40:29.223Z,true,59891,40549,543,0.010201275,21.441,6,3,0
kubectl-skill,diagnose_unschedulable,3,gemini-3.5-flash,2026-07-10T04:41:01.322Z,true,83900,56753,568,0.013820574999999998,19.684,7,4,0
kubectl-skill,diagnose_unschedulable,4,gemini-3.5-flash,2026-07-10T04:41:36.305Z,true,70320,48652,805,0.012161799999999999,20.777,6,3,0
kubectl-skill,diagnose_unschedulable,5,gemini-3.5-flash,2026-07-10T04:42:15.001Z,true,71280,48661,744,0.012295275,23.802,6,3,0
kubectl-skill,node_health,1,gemini-3.5-flash,2026-07-10T04:42:54.858Z,true,99951,64963,806,0.017383625,26.826,7,4,0
kubectl-skill,node_health,2,gemini-3.5-flash,2026-07-10T04:43:38.388Z,true,94311,56812,849,0.0176331,30.791,7,4,0
kubectl-skill,node_health,3,gemini-3.5-flash,2026-07-10T04:44:08.219Z,true,61799,40579,554,0.010794425,16.743,5,2,0
kubectl-skill,node_health,4,gemini-3.5-flash,2026-07-10T04:44:39.469Z,true,62347,40583,525,0.010885424999999999,17.935,5,2,0
kubectl-skill,node_health,5,gemini-3.5-flash,2026-07-10T04:45:20.053Z,true,95635,64833,663,0.015760575000000002,27.915,8,5,0
kubectl-skill,diagnose_oom,1,gemini-3.5-flash,2026-07-10T04:45:54.537Z,true,62433,40583,588,0.011068725,21.697,5,2,0
kubectl-skill,diagnose_oom,2,gemini-3.5-flash,2026-07-10T04:46:34.679Z,true,85612,56765,742,0.014766475000000001,27.347,7,4,0
kubectl-skill,diagnose_oom,3,gemini-3.5-flash,2026-07-10T04:47:11.346Z,true,96128,64837,706,0.016015075,23.736,8,5,0
kubectl-skill,diagnose_oom,4,gemini-3.5-flash,2026-07-10T04:47:49.787Z,true,72501,48668,794,0.012785,25.302,6,3,0
kubectl-skill,diagnose_oom,5,gemini-3.5-flash,2026-07-10T04:48:23.676Z,true,61390,40559,588,0.010761225000000001,21.691,6,3,0
kubectl-skill,diagnose_configmap,1,gemini-3.5-flash,2026-07-10T04:49:02.473Z,true,70487,48654,475,0.01138645,24.37,6,3,0
kubectl-skill,diagnose_configmap,2,gemini-3.5-flash,2026-07-10T04:49:39.747Z,true,71620,48663,610,0.012061824999999998,24.38,6,3,0
kubectl-skill,diagnose_configmap,3,gemini-3.5-flash,2026-07-10T04:50:15.891Z,true,59652,40547,439,0.009870025,23.87,6,3,0
kubectl-skill,diagnose_configmap,4,gemini-3.5-flash,2026-07-10T04:50:50.445Z,true,70247,48652,487,0.0113449,21.022,6,3,0
kubectl-skill,diagnose_configmap,5,gemini-3.5-flash,2026-07-10T04:51:19.658Z,true,69813,48652,447,0.0111147,16.442,6,3,0
kubectl-skill,diagnose_endpoints,1,gemini-3.5-flash,2026-07-10T04:52:10.116Z,true,65459,40582,844,0.01261675,34.76,6,3,0
kubectl-skill,diagnose_endpoints,2,gemini-3.5-flash,2026-07-10T04:52:47.756Z,true,76266,48692,861,0.014076599999999998,24.172,6,3,0
kubectl-skill,diagnose_endpoints,3,gemini-3.5-flash,2026-07-10T04:53:31.439Z,true,71422,48661,967,0.012895375,29.127,6,3,0
kubectl-skill,diagnose_endpoints,4,gemini-3.5-flash,2026-07-10T04:54:05.033Z,true,59656,40568,784,0.010729,20.17,5,2,0
kubectl-skill,diagnose_endpoints,5,gemini-3.5-flash,2026-07-10T04:54:39.465Z,true,61073,40557,756,0.011086575000000001,22.088,6,3,0
kubectl-skill,diagnose_multicontainer,1,gemini-3.5-flash,2026-07-10T04:55:19.055Z,true,82429,56742,614,0.01349675,25.809,7,4,0
kubectl-skill,diagnose_multicontainer,2,gemini-3.5-flash,2026-07-10T04:55:59.812Z,true,87335,56774,631,0.015003849999999999,25.63,7,4,0
kubectl-skill,diagnose_multicontainer,3,gemini-3.5-flash,2026-07-10T04:56:38.463Z,true,83208,56748,702,0.013949099999999999,24.913,7,4,0
kubectl-skill,diagnose_multicontainer,4,gemini-3.5-flash,2026-07-10T04:57:20.716Z,true,74759,48657,817,0.013522375,26.57,7,4,0
kubectl-skill,diagnose_multicontainer,5,gemini-3.5-flash,2026-07-10T04:57:54.297Z,true,72659,48642,632,0.01243325,20.824,7,4,0
kubectl-skill,cluster_triage,1,gemini-3.5-flash,2026-07-10T04:59:37.060Z,true,169004,113870,2511,0.03135795,84.515,9,6,0
kubectl-skill,cluster_triage,2,gemini-3.5-flash,2026-07-10T05:01:05.204Z,true,181980,130160,2642,0.031913,72.763,10,7,0
kubectl-skill,cluster_triage,3,gemini-3.5-flash,2026-07-10T05:02:48.644Z,true,149146,97508,4634,0.0343895,86.614,9,6,0
kubectl-skill,cluster_triage,4,gemini-3.5-flash,2026-07-10T05:04:22.322Z,true,200221,137816,3551,0.037935199999999995,75.015,26,22,0
kubectl-skill,cluster_triage,5,gemini-3.5-flash,2026-07-10T05:05:57.218Z,true,153599,105658,2491,0.028534149999999998,75.572,9,6,0
kubectl-skill,diagnose_init,1,gemini-3.5-flash,2026-07-10T05:06:43.816Z,true,96480,64839,771,0.016282724999999998,34.159,8,5,0
kubectl-skill,diagnose_init,2,gemini-3.5-flash,2026-07-10T05:07:23.192Z,true,82364,56741,667,0.013609974999999998,27.077,7,4,0
kubectl-skill,diagnose_init,3,gemini-3.5-flash,2026-07-10T05:08:07.525Z,true,83516,56750,551,0.01366355,31.866,7,4,0
kubectl-skill,diagnose_init,4,gemini-3.5-flash,2026-07-10T05:08:51.884Z,true,83278,56500,551,0.0136484,27.792,7,4,0
kubectl-skill,diagnose_init,5,gemini-3.5-flash,2026-07-10T05:09:23.307Z,true,71301,48660,525,0.011754299999999999,19.253,6,3,0
kubectl-skill,diagnose_imagepull,1,gemini-3.5-flash,2026-07-10T05:10:01.958Z,true,82535,56743,597,0.013485824999999998,25.541,7,4,0
kubectl-skill,diagnose_imagepull,2,gemini-3.5-flash,2026-07-10T05:10:31.885Z,true,45942,32440,433,0.0075661,17.046,5,2,0
kubectl-skill,diagnose_imagepull,3,gemini-3.5-flash,2026-07-10T05:11:05.005Z,true,70879,48658,562,0.011720649999999999,20.604,6,3,0
kubectl-skill,diagnose_imagepull,4,gemini-3.5-flash,2026-07-10T05:11:51.352Z,true,111471,72896,798,0.0190347,30.399,10,7,0
kubectl-skill,diagnose_imagepull,5,gemini-3.5-flash,2026-07-10T05:12:28.379Z,true,82917,56747,550,0.013482025,22.19,7,4,0
kubectl,diagnose_endpoints,1,gemini-3.5-flash,2026-07-10T05:13:11.023Z,true,60135,40570,729,0.01073475,28.315,5,2,0
kubectl,diagnose_endpoints,2,gemini-3.5-flash,2026-07-10T05:13:52.006Z,true,112429,72902,713,0.01910825,27.823,10,6,0
kubectl,diagnose_endpoints,3,gemini-3.5-flash,2026-07-10T05:14:30.866Z,true,70600,48656,674,0.0119174,25.981,6,3,0
kubectl,diagnose_endpoints,4,gemini-3.5-flash,2026-07-10T05:15:21.681Z,true,126794,81029,1008,0.022326675,38.093,10,7,0
kubectl,diagnose_endpoints,5,gemini-3.5-flash,2026-07-10T05:16:06.887Z,true,73218,48672,667,0.0126817,31.487,6,3,0
kubectl,diagnose_crashloop,1,gemini-3.5-flash,2026-07-10T05:16:43.392Z,true,59754,40548,643,0.0104104,23.341,6,3,0
kubectl,diagnose_crashloop,2,gemini-3.5-flash,2026-07-10T05:17:26.567Z,true,97953,64849,950,0.017169875,29.688,8,5,0
kubectl,diagnose_crashloop,3,gemini-3.5-flash,2026-07-10T05:18:14.500Z,true,87483,56746,714,0.01526205,34.768,8,5,0
kubectl,diagnose_crashloop,4,gemini-3.5-flash,2026-07-10T05:18:49.457Z,true,70647,48656,678,0.0119415,21.602,6,3,0
kubectl,diagnose_crashloop,5,gemini-3.5-flash,2026-07-10T05:19:23.541Z,true,60768,40539,720,0.010909125,20.557,7,4,0
kubectl,node_health,1,gemini-3.5-flash,2026-07-10T05:20:16.099Z,true,64480,40574,534,0.01154985,34.364,6,3,0
kubectl,node_health,2,gemini-3.5-flash,2026-07-10T05:20:44.146Z,true,60848,40572,323,0.009933200000000001,15.082,5,2,0
kubectl,node_health,3,gemini-3.5-flash,2026-07-10T05:21:17.188Z,true,60910,40574,565,0.01055635,19.54,5,2,0
kubectl,node_health,4,gemini-3.5-flash,2026-07-10T05:21:50.770Z,true,50572,32467,387,0.008834024999999999,17.917,5,2,0
kubectl,node_health,5,gemini-3.5-flash,2026-07-10T05:22:27.589Z,true,77978,48697,582,0.013891575,21.927,6,3,0
kubectl,diagnose_configmap,1,gemini-3.5-flash,2026-07-10T05:23:06.258Z,true,59021,40542,511,0.00986185,25.999,6,3,0
kubectl,diagnose_configmap,2,gemini-3.5-flash,2026-07-10T05:23:40.411Z,true,69299,48565,572,0.011292575000000001,21.391,6,3,0
kubectl,diagnose_configmap,3,gemini-3.5-flash,2026-07-10T05:24:09.152Z,true,68950,48644,468,0.0109101,16.594,6,3,0
kubectl,diagnose_configmap,4,gemini-3.5-flash,2026-07-10T05:24:38.859Z,true,57421,40532,485,0.0093191,16.526,6,3,0
kubectl,diagnose_configmap,5,gemini-3.5-flash,2026-07-10T05:25:17.656Z,true,69617,48649,557,0.011331574999999998,26.572,6,3,0
kubectl,diagnose_init,1,gemini-3.5-flash,2026-07-10T05:25:50.200Z,true,75612,48686,499,0.01297675,19.821,6,3,0
kubectl,diagnose_init,2,gemini-3.5-flash,2026-07-10T05:26:23.310Z,true,59922,40549,450,0.009978075,20.663,6,3,0
kubectl,diagnose_init,3,gemini-3.5-flash,2026-07-10T05:26:53.782Z,true,58582,40539,439,0.009550824999999999,18.026,6,3,0
kubectl,diagnose_init,4,gemini-3.5-flash,2026-07-10T05:27:37.165Z,true,72374,48668,591,0.0122394,30.742,6,3,0
kubectl,diagnose_init,5,gemini-3.5-flash,2026-07-10T05:28:08.228Z,true,70275,48654,515,0.01142285,17.97,6,3,0
kubectl,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-10T05:28:47.749Z,true,69666,48649,715,0.011741274999999999,26.049,6,3,0
kubectl,diagnose_unschedulable,2,gemini-3.5-flash,2026-07-10T05:29:21.265Z,true,72074,48640,682,0.0123832,20.27,7,4,0
kubectl,diagnose_unschedulable,3,gemini-3.5-flash,2026-07-10T05:29:55.837Z,true,68462,48641,473,0.010776875,21.494,6,3,0
kubectl,diagnose_unschedulable,4,gemini-3.5-flash,2026-07-10T05:30:40.068Z,true,82094,48622,604,0.01519825,29.993,7,4,0
kubectl,diagnose_unschedulable,5,gemini-3.5-flash,2026-07-10T05:31:16.036Z,true,69686,48649,611,0.011487275,23.105,6,3,0
kubectl,cluster_triage,1,gemini-3.5-flash,2026-07-10T05:32:38.275Z,true,126850,81223,3376,0.028219825,56.154,19,15,0
kubectl,cluster_triage,2,gemini-3.5-flash,2026-07-10T05:34:08.257Z,true,162617,113878,2908,0.03043255,65.457,11,8,0
kubectl,cluster_triage,3,gemini-3.5-flash,2026-07-10T05:35:56.843Z,true,244966,162355,3768,0.046379925,93.213,14,8,0
kubectl,cluster_triage,4,gemini-3.5-flash,2026-07-10T05:37:24.219Z,true,157690,104302,2894,0.03107405,70.488,22,19,0
kubectl,cluster_triage,5,gemini-3.5-flash,2026-07-10T05:39:17.489Z,true,505456,364719,3388,0.07804502499999999,95.799,25,22,0
kubectl,diagnose_pvc,1,gemini-3.5-flash,2026-07-10T05:40:02.453Z,true,125810,80978,1126,0.022337950000000002,30.338,11,8,0
kubectl,diagnose_pvc,2,gemini-3.5-flash,2026-07-10T05:40:40.176Z,true,83788,56752,1163,0.015274699999999999,25.076,7,4,0
kubectl,diagnose_pvc,3,gemini-3.5-flash,2026-07-10T05:41:28.755Z,true,135636,89071,1038,0.023244825,35.361,11,6,0
kubectl,diagnose_pvc,4,gemini-3.5-flash,2026-07-10T05:42:07.483Z,true,97102,64806,1162,0.01745425,24.85,9,6,0
kubectl,diagnose_pvc,5,gemini-3.5-flash,2026-07-10T05:42:49.412Z,true,98670,64818,1230,0.01809195,27.821,9,6,0
kubectl,diagnose_oom,1,gemini-3.5-flash,2026-07-10T05:43:25.561Z,true,50361,32467,535,0.009140725,21.109,5,2,0
kubectl,diagnose_oom,2,gemini-3.5-flash,2026-07-10T05:43:58.644Z,true,58506,40560,566,0.009840799999999999,20.279,5,2,0
kubectl,diagnose_oom,3,gemini-3.5-flash,2026-07-10T05:44:28.922Z,true,59333,40565,545,0.010035275,17.221,5,2,0
kubectl,diagnose_oom,4,gemini-3.5-flash,2026-07-10T05:44:57.846Z,true,35297,24357,267,0.005776275,16.265,3,2,0
kubectl,diagnose_oom,5,gemini-3.5-flash,2026-07-10T05:45:33.036Z,true,59742,40450,611,0.010348849999999998,22.59,5,2,0
kubectl,diagnose_readiness,1,gemini-3.5-flash,2026-07-10T05:46:18.745Z,true,91607,56770,855,0.01684635,32.839,8,5,0
kubectl,diagnose_readiness,2,gemini-3.5-flash,2026-07-10T05:47:08.716Z,true,100689,64936,1079,0.0182936,35.187,8,5,0
kubectl,diagnose_readiness,3,gemini-3.5-flash,2026-07-10T05:48:07.902Z,true,119695,72986,1106,0.022251649999999998,45.016,9,6,0
kubectl,diagnose_readiness,4,gemini-3.5-flash,2026-07-10T05:48:56.798Z,true,87444,56521,968,0.015935974999999998,35.066,7,4,0
