condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
kubectl-axi,diagnose_unschedulable,1,gemini-3.1-pro-preview,2026-07-09T21:05:14.992Z,true,41489,24157,201,0.0491545,33.999,4,3,0
kubectl-skill,diagnose_oom,1,gemini-3.1-pro-preview,2026-07-09T21:20:51.524Z,true,39935,20118,296,0.053245,14.202,4,3,0
kubectl-skill,diagnose_multicontainer,1,gemini-3.1-pro-preview,2026-07-09T21:21:19.712Z,true,50058,24127,341,0.0680175,22.165,5,4,0
kubectl-skill,node_health,1,gemini-3.1-pro-preview,2026-07-09T21:21:41.584Z,true,50311,24130,325,0.068327,15.869,5,2,0
kubectl-skill,diagnose_crashloop,1,gemini-3.1-pro-preview,2026-07-09T21:22:05.061Z,true,39844,20090,411,0.054485,17.831,6,3,0
kubectl-skill,diagnose_configmap,1,gemini-3.1-pro-preview,2026-07-09T21:22:19.705Z,true,29268,12073,139,0.0420945,9.175,3,2,0
kubectl-skill,diagnose_rollout,1,gemini-3.1-pro-preview,2026-07-09T21:22:49.437Z,true,53932,28179,557,0.0722795,21.864,6,3,0
kubectl-skill,diagnose_unschedulable,1,gemini-3.1-pro-preview,2026-07-09T21:23:20.797Z,true,39722,20117,286,0.0527005,25.27,4,3,0
kubectl-skill,diagnose_readiness,1,gemini-3.1-pro-preview,2026-07-09T21:23:57.181Z,true,89582,52325,565,0.1074565,29.768,8,6,0
kubectl-skill,healthy_namespace_check,1,gemini-3.1-pro-preview,2026-07-09T21:24:46.469Z,true,73205,44200,485,0.08593,40.15,8,5,0
kubectl-skill,cluster_triage,1,gemini-3.1-pro-preview,2026-07-09T21:29:52.173Z,true,1245587,1006334,2753,1.014709,245.29,52,49,0
kubectl-skill,diagnose_imagepull,1,gemini-3.1-pro-preview,2026-07-09T21:30:20.840Z,true,29501,12077,174,0.0429745,22.412,3,2,0
kubectl-skill,diagnose_pvc,1,gemini-3.1-pro-preview,2026-07-09T21:30:54.900Z,true,71832,44215,555,0.0840015,27.362,7,6,0
kubectl-skill,diagnose_endpoints,1,gemini-3.1-pro-preview,2026-07-09T21:37:31.670Z,false,0,0,0,0,303.32,47,45,0
kubectl-skill,diagnose_init,1,gemini-3.1-pro-preview,2026-07-09T21:37:54.367Z,true,52722,28166,287,0.066639,16.534,6,3,0
kubectl,healthy_namespace_check,1,gemini-3.1-pro-preview,2026-07-09T21:12:42.463Z,true,111184,60311,683,0.1400975,31.747,10,7,0
kubectl,cluster_triage,1,gemini-3.1-pro-preview,2026-07-09T21:14:58.996Z,true,302853,204603,2233,0.3255975,127.661,23,20,0
kubectl,diagnose_multicontainer,1,gemini-3.1-pro-preview,2026-07-09T21:15:33.484Z,true,51298,28148,461,0.065906,27.647,6,3,0
kubectl,diagnose_init,1,gemini-3.1-pro-preview,2026-07-09T21:16:01.822Z,true,52462,28165,388,0.0673325,22.479,6,3,0
kubectl,diagnose_rollout,1,gemini-3.1-pro-preview,2026-07-09T21:16:25.709Z,true,40284,20105,510,0.0565305,17.232,6,3,0
kubectl,diagnose_readiness,1,gemini-3.1-pro-preview,2026-07-09T21:17:04.034Z,true,49441,24128,497,0.068654,31.743,5,2,0
kubectl,diagnose_unschedulable,1,gemini-3.1-pro-preview,2026-07-09T21:17:32.010Z,true,59906,32157,424,0.0766645,18.327,6,4,0
kubectl,diagnose_crashloop,1,gemini-3.1-pro-preview,2026-07-09T21:17:48.623Z,true,28376,8043,156,0.0465595,10.685,3,2,0
kubectl,diagnose_endpoints,1,gemini-3.1-pro-preview,2026-07-09T21:18:25.980Z,true,52275,32185,471,0.0619245,28.212,6,3,0
kubectl,diagnose_pvc,1,gemini-3.1-pro-preview,2026-07-09T21:19:02.054Z,true,60987,36159,537,0.0741795,29.373,8,5,0
kubectl,diagnose_oom,1,gemini-3.1-pro-preview,2026-07-09T21:19:22.187Z,true,40957,20121,371,0.0561845,14.059,5,2,0
kubectl,diagnose_configmap,1,gemini-3.1-pro-preview,2026-07-09T21:19:46.996Z,true,59344,32149,369,0.0748925,16.717,6,3,0
kubectl,diagnose_imagepull,1,gemini-3.1-pro-preview,2026-07-09T21:20:08.423Z,true,49461,24107,353,0.0669975,14.955,6,3,0
kubectl,node_health,1,gemini-3.1-pro-preview,2026-07-09T21:20:29.043Z,true,29605,16093,299,0.0386585,14.673,4,1,0
